Protein	logFC	AveExpr	t	P.Value	adj.P.Val	B	status	Comparison	Gene
P08226	-2.22	20.45	-6.702918957682021	1.4616492456215637e-6	1.0328988002392384e-4	5.43	Decreased	Venom + Actn 15mg vs Venom	Apoe
Q00623	-4.73	21.36	-6.384495606938679	2.899305330075422e-6	1.8439581899279685e-4	4.75	Decreased	Venom + Actn 15mg vs Venom	Apoa1
Q8VCM7	-3.5	18.72	-5.970653980206719	7.198080974061588e-6	4.161799545002882e-4	3.86	Decreased	Venom + Actn 15mg vs Venom	Fgg
P20918	-2.35	22.11	-5.842450877172046	9.580443826950277e-6	5.077635228283646e-4	3.56	Decreased	Venom + Actn 15mg vs Venom	Plg
Q61646	-2.94	23.76	-5.6581766284884445	1.449754296993134e-5	7.09264409913564e-4	3.21	Decreased	Venom + Actn 15mg vs Venom	Hp
P54071	1.35	16.08	5.275637709602525	3.4656377461888624e-5	0.0015280665750807391	2.3	Increased	Venom + Actn 15mg vs Venom	Idh2
P61982	-2.05	16.84	-5.235959598536093	3.796624736563819e-5	0.0015280665750807391	2.21	Decreased	Venom + Actn 15mg vs Venom	Ywhag
Q8VCS0	-2.68	21.3	-5.230548285121363	3.8441926417125515e-5	0.0015280665750807391	2.2	Decreased	Venom + Actn 15mg vs Venom	Pglyrp2
P01898	-1.71	19.14	-5.140928766055498	4.726342671187957e-5	0.0015616074856469602	2.03	Decreased	Venom + Actn 15mg vs Venom	H2-Q10
P07361	-2.89	18.92	-5.143392856108773	4.699528522151659e-5	0.0015616074856469602	2	Decreased	Venom + Actn 15mg vs Venom	Orm2
P28665	-4.67	19.35	-5.129007804739395	4.8582780095393044e-5	0.0015616074856469602	1.99	Decreased	Venom + Actn 15mg vs Venom	Mug1
Q8K0E8	-3.62	19.43	-5.124360933512323	4.910715363669686e-5	0.0015616074856469602	1.98	Decreased	Venom + Actn 15mg vs Venom	Fgb
P07724	-3.12	26.48	-4.942594939241998	7.483647572556484e-5	0.0022664761219742496	1.54	Decreased	Venom + Actn 15mg vs Venom	Alb
P01887	-2.5	22	-4.677429026975473	1.3895107817847157e-4	0.004016949350977633	0.94	Decreased	Venom + Actn 15mg vs Venom	B2m
Q8VCG4	-1.73	16.26	-4.652692068056384	1.4724012952640724e-4	0.004071509668643261	0.89	Decreased	Venom + Actn 15mg vs Venom	C8g
Q9DB77	2.04	16.37	4.595327104861029	1.6843559325644485e-4	0.0044635432212957885	0.75	Increased	Venom + Actn 15mg vs Venom	Uqcrc2
Q8BGH2	2.2	19.27	4.523019830181675	1.9959498938700815e-4	0.004934321562282149	0.61	Increased	Venom + Actn 15mg vs Venom	Samm50
Q60932	2.73	22.87	4.518516681610012	2.0171754814360987e-4	0.004934321562282149	0.58	Increased	Venom + Actn 15mg vs Venom	Vdac1
P01635	-2.18	19.23	-4.4819513641897	2.1981623969103312e-4	0.005177893646055447	0.52	Decreased	Venom + Actn 15mg vs Venom	Igkv12-41
E9PV24	-2.59	20.5	-4.421949201463989	2.531272881729589e-4	0.005749605545642923	0.38	Decreased	Venom + Actn 15mg vs Venom	Fga
P62259	-1.52	15.99	-4.379560724856258	2.796785609967892e-4	0.006133640165308894	0.26	Decreased	Venom + Actn 15mg vs Venom	Ywhae
P01029	-1.61	18.8	-4.351530771290086	2.987561656005855e-4	0.006333630710732413	0.22	Decreased	Venom + Actn 15mg vs Venom	C4b
Q61838	-1.95	23.29	-4.230589955755137	3.9723440081978426e-4	0.008149712223270413	-0.07	Decreased	Venom + Actn 15mg vs Venom	Pzp
Q8VDN2	2.08	18.65	4.162944879888887	4.658946628569476e-4	0.009259656424281833	-0.24	Increased	Venom + Actn 15mg vs Venom	Atp1a1
P11679	1.6	16.51	4.1237212444415325	5.11023376143361e-4	0.009848814158399322	-0.27	Increased	Venom + Actn 15mg vs Venom	Krt8
O89020	-1.21	21.81	-4.095082593947638	5.467108459967568e-4	0.010226708766292274	-0.4	Decreased	Venom + Actn 15mg vs Venom	Afm
Q01279	-1.61	19.58	-4.062439761853789	5.904342982797659e-4	0.010729034677312317	-0.47	Decreased	Venom + Actn 15mg vs Venom	Egfr
